vacancy_id;vacancy_name;company;skills;source_vac;date_created;date_of_download;status;version_vac;actual;description
https://yandex.ru/jobs/vacancies/sre-%D0%B2-%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%83-%D1%82%D1%80%D0%B0%D1%84%D0%B8%D0%BA%D0%B0-core-infrastructure-12055;;Yandex Infrastructure;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9-%D0%B4%D0%B0%D1%82%D0%B0-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D0%B2-hr-tech-14300;;HR Tech;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA-%D0%B2-%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%83-big-data-6768;;Поисковый портал;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D1%81%D1%82%D0%B0%D1%80%D1%88%D0%B8%D0%B9-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D0%B2-%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%83-%D1%8D%D1%84%D1%84%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-13173;;Доставка;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85-%D0%B2-hr-tech-10217;;HR Tech;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA-%D0%B2-%D1%81%D0%BB%D1%83%D0%B6%D0%B1%D1%83-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B8-%D0%B8-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0-%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D1%85-%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85-15660;;Реклама;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA-%D0%B2-%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%83-%D1%8D%D1%84%D1%84%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-10386;;Доставка;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-customer-data-platform-cdp-%D0%B2-%D0%BF%D0%BB%D1%8E%D1%81-%D0%B8-%D1%84%D0%B0%D0%BD%D1%82%D0%B5%D1%85-15380;;Плюс;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA-%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8-%D0%B8%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B9-yandexart-13343;;Поисковый портал;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C-%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D1%8B-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B8-%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D1%85-%D0%B0%D0%BB%D0%B3%D0%BE%D1%80%D0%B8%D1%82%D0%BC%D0%BE%D0%B2-%D0%B2-%D0%BB%D0%B0%D0%B2%D0%BA%D1%83-13907;;Лавка;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D0%B2-%D0%BC%D0%BE%D0%BD%D0%B5%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8E-%D0%BF%D0%BE%D0%B8%D1%81%D0%BA%D0%B0-%D0%BA%D0%B0%D1%80%D1%82-14175;;Карты;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85-%D0%B2-yandex-cloud-13086;;Yandex Cloud;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D0%B2-%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%83-%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6-%D0%B3%D0%B5%D0%BE%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D0%BE%D0%B2-8720;;Коммерческий департамент;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B4%D0%B0%D1%82%D0%B0-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D0%B2-%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%83-s%D0%B5%D0%BE-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B8-15373;;Вертикальные сервисы;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA-%D0%B2-%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%83-%D0%BE%D1%84%D0%BB%D0%B0%D0%B9%D0%BD-%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D0%BA-%D0%BF%D0%BE%D0%B8%D1%81%D0%BA%D0%B0-12246;;Общие сервисы Яндекса;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BD%D1%8B%D0%B9-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-9201;;Доставка;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D0%B2-crowd-14930;;Crowd;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
https://yandex.ru/jobs/vacancies/%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-%D1%86%D0%B5%D0%BB%D0%B5%D0%B2%D1%8B%D1%85-%D0%BA%D0%BE%D0%BC%D0%BC%D1%83%D0%BD%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B9-%D0%B2-%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82-15613;;Маркет;;https://yandex.ru/jobs/vacancies/;2023-11-05;2023-11-05;existing;1;1;
