id,version,url,title,salary_from,salary_to,experience_from,experience_to,description,company_id,source_id,publicated_at
61,1,https://rabota.sber.ru/search/4222170,Руководитель направления по стратегии и бенчмаркингу,,,,,,1,1,2023-10-25
62,1,https://rabota.sber.ru/search/4184091,Senior Data Scientist,,,,,,1,1,2023-10-19
63,1,https://rabota.sber.ru/search/4224484,Java Developer,,,,,,1,1,2023-11-02
64,1,https://rabota.sber.ru/search/4225013,Java разработчик на 3-я линия,,,,,,1,1,2023-11-02
65,1,https://rabota.sber.ru/search/4220872,Data Scientist (Middle\Middle+),,,,,,1,1,2023-11-08
66,1,https://rabota.sber.ru/search/4225165,Java разработчик (воронка),,,,,,1,1,2023-11-08
67,1,https://rabota.sber.ru/search/4226472,Java developer,,,,,,1,1,2023-11-09
68,1,https://rabota.sber.ru/search/4215841,Lead IOS разработчик (ИСУ),,,,,,1,1,2023-10-27
69,1,https://rabota.sber.ru/search/4217642,Data Scientist,,,,,,1,1,2023-10-23
70,1,https://rabota.sber.ru/search/4211366,QA Load Test (SberTeamID),,,,,,1,1,2023-10-20
71,1,https://rabota.sber.ru/search/4207339,"Tech Lead (команды ""Данные DWH"" и ""Развитие DWH"")",,,,,,1,1,2023-10-17
72,1,https://rabota.sber.ru/search/4222810,QA Engineer,,,,,,1,1,2023-10-30
73,1,https://rabota.sber.ru/search/4207463,Главный инженер по разработке,,,,,,1,1,2023-10-26
74,1,https://rabota.sber.ru/search/4204394,QA-engineer,,,,,,1,1,2023-10-24
75,1,https://rabota.sber.ru/search/4223456,Middle+ Java Developer,,,,,,1,1,2023-10-26
76,1,https://rabota.sber.ru/search/4203469,Главный инженер,,,,,,1,1,2023-10-24
77,1,https://rabota.sber.ru/search/4218906,Customer Journey Expert СберПрайм,,,,,,1,1,2023-10-12
78,1,https://rabota.sber.ru/search/4221741,Junior Data Scientist (LLM),,,,,,1,1,2023-10-19
79,1,https://rabota.sber.ru/search/4224572,Middle Java разработчик,,,,,,1,1,2023-11-01
80,1,https://rabota.sber.ru/search/4221739,Middle/Senior Data Scientist (LLM),,,,,,1,1,2023-10-19
81,1,https://rabota.sber.ru/search/4226428,Дата аналитик GigaChat,,,,,,1,1,2023-11-08
82,1,https://rabota.sber.ru/search/4218955,Data Scientist NLP (Global markets),,,,,,1,1,2023-10-13
83,1,https://rabota.sber.ru/search/4223958,Backend Java developer,,,,,,1,1,2023-10-26
84,1,https://rabota.sber.ru/search/4225406,Senior NLP Data Scientist / GigaChat,,,,,,1,1,2023-11-02
85,1,https://rabota.sber.ru/search/4206603,Team Lead/Senior Java разработчик (кредитование),,,,,,1,1,2023-10-24
86,1,https://rabota.sber.ru/search/4221789,Разработчик-Java,,,,,,1,1,2023-10-19
87,1,https://rabota.sber.ru/search/4225425,Java разработчик,,,,,,1,1,2023-11-03
88,1,https://rabota.sber.ru/search/4225718,Senior Data scientist (модельные риски КИБ),,,,,,1,1,2023-11-01
89,1,https://rabota.sber.ru/search/4216327,Senior NLP Data Scientist в Центр AI Маркетинга,,,,,,1,1,2023-10-23
90,1,https://rabota.sber.ru/search/4188142,Data Analyst,,,,,,1,1,2023-11-08
91,1,https://rabota.sber.ru/search/4208950,Разработчик ETL,,,,,,1,1,2023-11-07
92,1,https://rabota.sber.ru/search/4199441,Middle/Senior Data scientist,,,,,,1,1,2023-11-02
93,1,https://rabota.sber.ru/search/4220307,Middle+/Senior Data Scientist,,,,,,1,1,2023-10-23
94,1,https://rabota.sber.ru/search/4226015,Архитектор направления Маркетинга и Коммуникаций,,,,,,1,1,2023-11-07
95,1,https://rabota.sber.ru/search/4225976,Разработчик баз данных,,,,,,1,1,2023-11-02
96,1,https://rabota.sber.ru/search/4200681,Lead Java разработчик,,,,,,1,1,2023-10-19
97,1,https://rabota.sber.ru/search/4210829,Руководитель направления «Синергия B2B2C»,,,,,,1,1,2023-10-23
98,1,https://rabota.sber.ru/search/4226017,Разработчик Java,,,,,,1,1,2023-11-02
99,1,https://rabota.sber.ru/search/4227778,Инженер по автоматизированному тестированию (Auto QA),,,,,,1,1,2023-11-09
100,1,https://rabota.sber.ru/search/4198593,Senior/TeamLead Java developer,,,,,,1,1,2023-11-09
101,1,https://rabota.sber.ru/search/4208567,Системный аналитик DWH/Hadoop,,,,,,1,1,2023-10-18
102,1,https://rabota.sber.ru/search/4212717,Главный специалист аналитического управления (Data Analyst),,,,,,1,1,2023-11-03
103,1,https://rabota.sber.ru/search/4191687,Фронт-разработчик (МОС),,,,,,1,1,2023-11-03
104,1,https://rabota.sber.ru/search/4223059,Team Lead/Senior java developer (NRT решения),,,,,,1,1,2023-10-24
105,1,https://rabota.sber.ru/search/4196745,Руководитель направления кампаний продаж в digital-каналах,,,,,,1,1,2023-10-31
106,1,https://rabota.sber.ru/search/4219489,Team Lead Java Developer (BlockChain),,,,,,1,1,2023-11-02
107,1,https://rabota.sber.ru/search/4218479,Middle Data Analyst,,,,,,1,1,2023-10-12
