vacancy_id,skill_id
1,154
1,42
1,21
1,94
1,109
1,52
1,43
1,80
2,51
2,6
2,33
2,85
2,94
2,109
2,132
2,56
3,28
3,38
3,108
3,80
3,33
3,7
3,76
3,135
3,100
3,46
3,94
3,52
3,64
3,134
3,43
3,44
4,135
4,75
4,38
4,20
4,109
4,159
4,158
4,42
4,94
4,52
4,78
4,156
4,25
4,64
4,85
4,43
4,95
4,81
5,108
5,146
5,135
5,33
5,6
5,7
5,93
5,46
5,27
5,94
5,132
5,19
5,64
5,85
5,96
5,56
6,15
6,94
6,109
6,69
6,28
6,167
6,43
6,159
6,46
6,108
7,108
7,146
7,21
7,135
7,46
7,42
7,94
7,52
7,102
7,64
7,43
8,119
8,139
8,55
8,124
9,15
9,94
9,109
9,69
9,28
9,167
9,43
9,159
9,46
9,108
10,15
10,94
10,109
10,69
10,28
10,167
10,43
10,159
10,46
10,108
11,33
11,134
11,42
11,21
11,85
11,94
11,109
11,31
11,52
11,28
11,80
12,9
12,130
12,33
12,42
12,31
12,94
12,109
12,93
12,43
12,49
12,38
12,100
12,46
12,108
13,28
13,108
13,80
13,33
13,10
13,21
13,109
13,49
13,100
13,46
13,42
13,114
13,94
13,52
13,132
13,102
13,43
13,44
13,56
14,135
14,42
14,114
14,109
14,158
14,167
15,146
15,33
15,42
15,57
15,109
15,52
15,102
15,43
15,159
15,132
15,44
15,108
15,80
16,166
16,64
16,85
16,21
16,94
16,75
16,69
16,52
16,148
16,78
16,38
16,95
16,81
17,51
17,33
17,134
17,42
17,21
17,85
17,94
17,109
17,31
17,52
17,28
17,80
18,28
18,60
18,108
18,146
18,6
18,33
18,21
18,98
18,109
18,76
18,49
18,100
18,46
18,38
18,158
18,27
18,42
18,40
18,52
18,17
18,8
18,134
18,142
18,85
18,43
18,44
18,56
19,75
19,113
19,167
19,38
19,146
19,21
19,109
19,66
19,27
19,51
19,106
19,94
19,52
19,78
19,64
19,8
19,95
19,56
19,81
19,103
20,167
20,108
20,80
20,33
20,6
20,21
20,7
20,109
20,49
20,100
20,42
20,114
20,94
20,52
20,102
20,132
20,134
20,57
20,125
20,43
21,163
21,21
21,75
21,94
21,109
21,52
21,143
22,37
22,38
22,108
22,30
22,15
22,33
22,7
22,76
22,50
22,49
22,159
22,100
22,46
22,139
22,119
22,132
22,19
22,124
22,43
22,44
22,56
23,75
23,113
23,167
23,38
23,146
23,109
23,135
23,66
23,27
23,51
23,106
23,94
23,78
23,64
23,8
23,37
23,95
23,56
23,81
23,103
24,28
24,108
24,80
24,33
24,7
24,98
24,109
24,49
24,100
24,46
24,107
24,42
24,94
24,73
24,19
24,142
24,85
24,43
24,71
24,56
25,33
25,134
25,64
25,85
25,94
25,109
25,28
25,167
25,43
25,100
25,44
25,49
25,71
25,46
25,108
25,80
26,146
26,51
26,6
26,85
26,94
26,109
26,7
26,102
26,167
26,43
26,49
26,56
26,80
26,158
27,146
27,150
27,108
27,94
27,109
27,145
27,43
27,64
28,38
28,21
28,109
28,159
28,94
28,52
28,102
28,132
28,64
28,57
29,146
29,21
29,138
29,94
29,109
29,141
29,145
29,52
29,167
29,43
29,132
29,159
29,158
29,46
29,108
30,163
30,134
30,114
30,42
30,57
30,94
30,109
30,75
30,102
30,80
31,64
31,75
31,113
31,167
31,38
31,63
31,163
31,146
31,21
31,109
31,66
31,139
31,27
31,51
31,106
31,94
31,52
31,78
31,37
31,95
31,81
31,103
32,134
32,21
32,93
32,109
32,119
32,52
32,43
32,44
32,46
32,108
32,158
33,31
33,113
33,28
33,38
33,63
33,80
33,146
33,30
33,15
33,33
33,6
33,10
33,7
33,109
33,76
33,117
33,69
33,135
33,74
33,139
33,27
33,51
33,42
33,114
33,106
33,94
33,52
33,78
33,19
33,64
33,134
33,85
33,125
33,97
33,44
33,95
33,96
33,56
33,167
33,81
34,7
34,94
34,43
34,108
35,131
35,37
35,167
35,38
35,63
35,148
35,109
35,135
35,49
35,139
35,51
35,23
35,119
35,104
35,102
35,56
36,9
36,150
36,109
36,167
36,43
36,159
36,108
36,63
37,163
37,64
37,75
37,109
37,93
37,94
37,132
37,159
38,167
38,108
38,163
38,7
38,109
38,106
38,94
38,78
38,64
38,95
38,43
38,81
39,134
39,21
39,109
39,119
39,93
39,52
39,43
39,44
39,46
39,108
39,158
40,27
40,51
40,8
40,94
40,56
40,50
40,49
40,38
40,102
41,64
41,163
41,150
41,108
41,42
41,93
41,167
41,43
41,44
41,156
42,136
42,82
42,94
42,109
42,50
43,108
43,20
43,163
43,30
43,109
43,27
43,101
43,38
43,166
43,106
43,94
43,78
43,64
43,43
43,95
43,81
44,146
44,64
44,30
44,27
44,38
44,85
44,75
44,94
44,106
44,95
45,146
45,163
45,166
45,64
45,85
45,94
45,109
45,21
45,52
45,78
45,143
45,159
45,38
45,81
46,108
46,94
46,93
46,109
46,167
46,43
46,64
46,142
47,163
47,64
47,166
47,94
47,109
47,93
47,106
47,34
47,78
47,81
47,103
48,64
48,108
48,94
48,109
48,167
48,43
48,38
48,46
49,64
49,130
49,159
49,158
50,64
50,94
50,109
51,146
51,163
51,166
51,135
51,94
51,109
51,64
51,80
52,113
52,28
